2, 18, 35, 158, 162, 188,
1, 50, 58, 65, 71, 77, 99, 100, 113, 136, 176, 188, 191, 201, 210, 216, 221, 230, 250, 1021,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 250, 1005, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 250, 1005, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 158, 162, 176, 188, 250, 1005, 1007, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
14, 25, 31, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 106, 110, 158, 162, 176, 188, 1022,
1, 14, 25, 31, 44, 49, 65, 72, 81, 99, 100, 136, 158, 162, 176, 188, 191, 210, 1021, 1022,
14, 25, 31, 35, 37, 44, 49, 61, 65, 72, 81, 95, 100, 105, 158, 162, 176, 188, 250, 1005, 1022,
